PLOTNO,SPPNO,RAINTRT,DISPERSION,BLOCK,SUBBLOCK,AsteraceaeCNT,FabaceaeCNT,PoaceaeCNT,SPPNO18,PropAST,PropFAB,PropPOA,DISPERSION.FOURLEVELS,PAIR,BLANK,SnglGrs
120,1,150,UNDER,EAST,C,0,1,0,1,0,0,1,FAB,C20,0,POA.0
121,6,150,UNDER,WEST,D,6,0,0,6,0,1,0,AST,D1,0,POA.0
122,1,150,UNDER,WEST,D,0,1,0,1,0,0,1,FAB,D2,0,POA.0
123,1,150,UNDER,WEST,D,0,1,0,1,0,0,1,FAB,D3,0,POA.0
124,2,150,UNDER,WEST,D,0,2,0,2,0,0,1,FAB,D4,0,POA.0
125,2,150,OVER,WEST,D,1,0,1,2,0.5,0.5,0,OVER,D5,0,POA.0
126,1,150,UNDER,WEST,D,1,0,0,1,0,1,0,AST,D6,0,POA.0
127,6,150,OVER,WEST,D,2,2,2,6,0.333333333,0.333333333,0.333333333,OVER,D7,0,POA.0
128,5,150,OVER,WEST,D,2,2,1,6,0.2,0.4,0.4,OVER,D8,0,POA.0
129,3,150,UNDER,WEST,D,0,3,0,3,0,0,1,FAB,D9,0,POA.0
130,1,150,UNDER,WEST,D,1,0,0,1,0,1,0,AST,D10,0,POA.0
131,3,150,UNDER,WEST,D,3,0,0,3,0,1,0,AST,D11,0,POA.0
132,2,150,OVER,WEST,D,1,1,0,2,0,0.5,0.5,OVER,D12,0,POA.0
133,2,150,OVER,WEST,D,0,1,1,2,0.5,0,0.5,OVER,D13,0,POA.0
134,2,150,OVER,WEST,D,1,1,0,3,0,0.5,0.5,OVER,D14,0,POA.0
135,2,150,UNDER,WEST,D,2,0,0,2,0,1,0,AST,D15,0,POA.0
136,1,150,UNDER,WEST,D,0,0,1,1,1,0,0,POA,D16,0,POA.1
137,2,150,UNDER,WEST,D,0,0,2,2,1,0,0,POA,D17,0,POA.1
138,6,150,UNDER,WEST,D,0,6,0,6,0,0,1,FAB,D18,0,POA.0
139,3,150,OVER,WEST,D,1,1,1,3,0.333333333,0.333333333,0.333333333,OVER,D19,0,POA.0
140,1,150,UNDER,WEST,D,0,0,1,1,1,0,0,POA,D20,0,POA.1
141,6,50,UNDER,WEST,D,6,0,0,6,0,1,0,AST,D1,0,POA.0
142,1,50,UNDER,WEST,D,0,1,0,1,0,0,1,FAB,D2,0,POA.0
143,1,50,UNDER,WEST,D,0,1,0,1,0,0,1,FAB,D3,0,POA.0
144,2,50,UNDER,WEST,D,0,2,0,2,0,0,1,FAB,D4,0,POA.0
145,2,50,OVER,WEST,D,1,0,1,2,0.5,0.5,0,OVER,D5,0,POA.0
146,1,50,UNDER,WEST,D,1,0,0,1,0,1,0,AST,D6,0,POA.0
147,6,50,OVER,WEST,D,2,2,2,6,0.333333333,0.333333333,0.333333333,OVER,D7,0,POA.0
148,5,50,OVER,WEST,D,2,2,1,6,0.2,0.4,0.4,OVER,D8,0,POA.0
149,3,50,UNDER,WEST,D,0,3,0,3,0,0,1,FAB,D9,0,POA.0
150,1,50,UNDER,WEST,D,1,0,0,1,0,1,0,AST,D10,0,POA.0
151,3,50,UNDER,WEST,D,3,0,0,3,0,1,0,AST,D11,0,POA.0
152,2,50,OVER,WEST,D,1,1,0,2,0,0.5,0.5,OVER,D12,0,POA.0
153,2,50,OVER,WEST,D,0,1,1,2,0.5,0,0.5,OVER,D13,0,POA.0
154,2,50,OVER,WEST,D,1,1,0,3,0,0.5,0.5,OVER,D14,0,POA.0
155,2,50,UNDER,WEST,D,2,0,0,2,0,1,0,AST,D15,0,POA.0
156,1,50,UNDER,WEST,D,0,0,1,1,1,0,0,POA,D16,0,POA.1
