Plot,Richness,Rain,Subblock,CommComp,Ast10,Fab10,Poa10,TwoSpp,TwoSppFab,n.k,k,A,k2.5,k97.5,a2.5,a97.5,PropPanvir.Rlzd,Cover,PhyloDistPv,Percent.C,Percent.N,CN,CNdiff,Cdiff,Ndiff,ShannonsH.Bacteria,ShannonsH.FungSapr,Richness.Bacteria,Richness.FungSapr,AvgDistBact,AvgDistFung,CE,PropPanvir.Pntd
31,1,150,A,FAB,A0,F1,P0,NA,NA,5,0.002717111,2.532773379,0.001848113,0.0036334,2.321936034,2.74674301,0,0.395,0.2837,35.56,1.17,30.39316239,-15.88161936,-6.713571429,0.251428571,5.869913186,2.97586307,596,64,33.63449552,21.60682731,0.274229708,0
32,2,150,A,FAB,A0,F1,P0,FF,F1,5,0.002908999,2.522290461,0.001724671,0.004187955,2.241073593,2.809164048,0,0.265,0.28199233,29.66,1.18,25.13559322,-21.13918854,-12.61357143,0.261428571,5.633924521,3.178069421,448,50,33.87904098,21.60312047,0.269099459,0
33,1,150,A,POA,A0,F0,P1,NA,NA,5,0.00268922,2.470109121,0.001630834,0.003819674,2.220348559,2.724446358,0,0.291666667,0.0433,40.11,1.17,34.28205128,-11.99273047,-2.163571429,0.251428571,5.896675972,3.123206627,604,79,35.82537036,22.00220354,1.570622201,0
34,1,150,A,AST,A1,F0,P0,NA,NA,5,0.00212108,2.531159279,0.000976805,0.003338199,2.235760458,2.832957746,0,0.061833333,0.2887,39.91,1.22,32.71311475,-13.561667,-2.363571429,0.301428571,6.054684085,3.054955679,690,75,35.81562454,22.9215093,0.919738825,0
35,2,150,A,OVER,A1,F0,P1,AP,F0,5,0.002115498,2.481615269,0.001392308,0.002867354,2.301086272,2.664548885,0,1.008333333,0.257611564,36.63,1.1,33.3,-12.97478176,-5.643571429,0.181428571,5.869303697,NA,628,NA,37.51671378,23.87810357,10.96283934,0
36,2,150,A,POA,A0,F0,P1,PP,F0,5,0.002347315,2.512638825,0.000480848,0.004430741,2.042211559,2.999685977,0.842355151,1.033333333,0.004934284,32.03,0.94,34.07446809,-12.20031367,-10.24357143,0.021428571,5.978018341,2.760007504,674,61,5.707935206,3.751683747,8.040136772,0.5
37,3,150,A,OVER,A1,F1,P1,NA,NA,5,0.002580111,2.579223402,0.001849139,0.003343218,2.395952775,2.764829126,0,0.871666667,0.270829776,42.19,1.04,40.56730769,-5.707474064,-0.083571429,0.121428571,5.985489491,3.791945902,701,88,37.55070522,24.32596368,5.024295839,0
38,6,150,A,FAB,A0,F1,P0,NA,NA,5,0.002449346,2.52660904,0.002063458,0.002843815,2.431614774,2.622242096,0,0.931666667,0.307729769,39.82,1.27,31.35433071,-14.92045105,-2.453571429,0.351428571,6.124597895,2.893803705,844,76,37.09543265,21.94989669,10.49203136,0
39,2,150,A,AST,A1,F0,P0,AA,F0,5,0.001678575,2.478732989,0.000463533,0.002967095,2.162395267,2.802688706,0,0.801666667,0.286986512,37.52,0.83,45.20481928,-1.069962479,-4.753571429,-0.088571429,6.128838717,3.257612513,809,64,37.67552519,23.88617118,9.606933815,0
40,2,150,A,OVER,A0,F1,P1,FP,F1,5,0.002868538,2.507124266,0.002540548,0.003203299,2.430465959,2.584197601,0,0.185166667,0.104087209,30.32,1.12,27.07142857,-19.20335318,-11.95357143,0.201428571,5.612398989,3.535923313,479,81,36.25175382,23.99740508,0.756393747,0
41,1,150,B,POA,A0,F0,P1,NA,NA,5,0.002584466,2.502295726,0.001983148,0.003207666,2.35693414,2.649180913,0,0.525,0.0313,40.71,1.24,32.83064516,-13.44413659,-1.563571429,0.321428571,6.313080993,3.737370991,961,90,36.20755931,23.79832757,-0.941414383,0
42,2,150,B,OVER,A1,F1,P0,AF,F1,5,0.002670828,2.521709986,0.001577821,0.003839208,2.254088524,2.794485842,0,0.683333333,0.297862364,40.89,1.42,28.79577465,-17.47900711,-1.383571429,0.501428571,5.852299424,3.872959157,584,76,36.60000518,21.95144856,8.140717812,0
43,2,150,B,OVER,A0,F1,P1,FP,F1,5,0.003199533,2.505055968,0.001697214,0.004864792,2.15929241,2.859309166,0,0.2801,0.283694278,39.47,1.46,27.03424658,-19.24053518,-2.803571429,0.541428571,6.200096027,2.618273364,876,65,33.63455656,21.60686768,2.431629874,0
