PLOTNO,BMTOTPLOT.g,deltaY,CE,SE,YEAR
163,181.6328535,12.36634362,4.307154872,8.05918875,2020
164,855.8001694,510.7125439,187.2159571,323.4965867,2020
165,595.7210573,228.7539107,215.003807,13.75010369,2020
166,315.9027812,50.32619732,33.2324841,17.09371322,2020
167,60.66916408,20.07979527,20.07979527,3.55E-15,2020
168,428.6237092,0,0,0,2020
169,159.5121545,24.50034021,12.76767882,11.73266139,2020
170,457.2701363,223.0937554,378.5769318,-155.4831764,2020
171,357.3689562,82.29515953,21.84888189,60.44627764,2020
172,101.4758753,-22.01275795,-18.96709448,-3.045663471,2020
173,428.865643,92.7267776,-65.71640159,158.4431792,2020
175,143.1624646,31.47203787,31.47203787,-1.07E-14,2020
176,964.2987308,431.5414534,347.9583923,83.58306117,2020
177,20.72509027,-97.03135441,-97.03135441,0,2020
178,516.3463147,210.3627625,57.54730487,152.8154576,2020
179,91.18885462,-106.6306032,-104.5867931,-2.043810069,2020
180,507.7142751,222.2115905,45.32200992,176.8895805,2020
181,184.0649577,-73.97016576,-73.97016576,0,2020
182,11.86843084,-32.70868126,-32.70868126,0,2020
183,107.5137533,-22.21949631,-19.39288558,-2.826610732,2020
184,827.807204,543.2906601,246.3221927,296.9684674,2020
185,758.54082,420.1445726,272.8767255,147.2678471,2020
186,279.2914873,113.9540041,111.345708,2.60829604,2020
187,5.430406585,-27.61937875,-27.61937875,0,2020
188,361.1162163,-33.75374643,-33.75374643,7.11E-15,2020
189,113.2678626,41.92522226,21.12493632,20.80028594,2020
190,456.6696232,243.2652275,23.18255467,220.0826728,2020
191,354.7165699,123.8567283,33.42628425,90.43044401,2020
192,62.60320778,-95.77946784,-96.67505925,0.89559141,2020
193,483.2080562,173.0486665,58.26437046,114.7842961,2020
195,81.44575353,36.86864143,36.86864143,0,2020
196,907.829728,483.4185792,398.2752337,85.14334549,2020
197,85.09957519,27.92357433,27.92357433,-3.55E-15,2020
198,403.989501,170.2653731,63.18396355,107.0814096,2020
199,251.4049269,157.0513352,165.3791016,-8.327766366,2020
200,400.3205675,160.165551,62.88070491,97.28484609,2020
201,612.5710131,23.58869758,23.58869758,-2.49E-14,2020
202,680.638096,436.8802995,75.29862501,361.5816745,2020
203,229.0356355,97.50445297,97.50445297,0,2020
204,129.1533249,-5.031993756,-16.53307002,11.50107626,2020
205,313.7820952,-10.21911127,-15.87357194,5.654460674,2020
206,284.9063777,31.77392755,31.77392755,-2.13E-14,2020
207,560.663065,224.3589702,309.2362711,-84.87730094,2020
208,26.74570899,-4.590754829,-4.590754829,8.88E-16,2020
209,470.0394742,236.3153464,172.2577657,64.05758068,2020
210,112.7647927,-40.87773554,-40.87773554,-7.11E-15,2020
211,401.7692461,169.801753,54.34734635,115.4544066,2020
212,927.9671638,504.4584444,447.5929964,56.86544803,2020
213,286.9522318,140.816677,157.3748503,-16.55817326,2020
214,185.8574075,47.43980846,51.91012653,-4.470318069,2020
215,725.812026,475.7812276,60.76297356,415.0182541,2020
216,954.866101,351.7564195,351.351411,0.405008502,2020
217,830.0570281,596.7936105,206.7443732,390.0492373,2020
218,497.0949601,-118.3372287,-118.3372287,2.84E-14,2020
219,533.7894763,-56.99769779,-56.99769779,7.11E-15,2020
220,366.9718746,250.8849047,175.1915283,75.69337648,2020
221,376.7131488,-259.48098,-259.48098,0,2020
222,678.584255,367.0289234,24.18005067,342.8488727,2020
223,312.7367446,34.85427369,34.85427369,0,2020
224,25.44667447,-100.8330025,-101.3305877,0.497585203,2020
225,311.3104293,-45.4550523,-71.2991,25.8440477,2020
226,269.0163594,-15.89089469,-15.89089469,1.07E-14,2020
227,691.0779414,324.4839367,86.5410582,237.9428785,2020
228,63.61133105,27.52772906,27.52772906,0,2020
229,484.769853,178.7863009,85.88431166,92.9019892,2020
230,63.88817288,-48.95038574,-48.95038574,-7.11E-15,2020
231,384.4838696,105.4576306,40.29903293,65.15859766,2020
232,683.8041289,204.3285875,157.0737998,47.25478771,2020
233,290.239177,75.19861099,75.64601288,-0.447401897,2020
234,248.6287095,75.76211095,27.71149126,48.05061969,2020
235,769.9291017,438.5394941,30.14558349,408.3939107,2020
236,1038.374161,359.279578,344.1611527,15.11842533,2020
237,914.0371525,636.1080202,200.8757683,435.2322519,2020
238,710.1016446,94.67007981,94.67007981,5.68E-14,2020
239,761.7504309,18.99283029,18.99283029,3.55E-15,2020
240,311.4891567,151.1215675,78.39010416,72.73146333,2020
1,1205.280972,600.6502454,157.2002739,443.4499715,2022
2,646.7611075,378.7127911,53.40184939,325.3109417,2022
3,167.3594725,23.78204904,23.78204904,-7.11E-15,2022
4,1392.742098,1039.99937,306.0025199,733.9968503,2022
5,680.6555632,-62.16166313,-62.16166313,7.11E-15,2022
6,122.1643614,30.74112898,30.74112898,7.11E-15,2022
7,487.7767877,268.5655676,27.66622134,240.8993462,2022
8,474.8003653,158.773361,38.59582262,120.1775384,2022
9,791.8299987,487.4330172,58.92103573,428.5119815,2022
10,283.3999733,95.14135368,-44.52609462,139.6674483,2022
11,130.4974142,-9.913916967,-9.913916967,-7.11E-15,2022
12,118.3482873,-23.64608999,-22.84084297,-0.805247021,2022
13,180.017842,20.70279917,20.70279917,-3.55E-15,2022
14,0.914703161,-4.303341925,-4.303341925,-8.88E-16,2022
15,1495.164606,825.6715626,561.767166,263.9043965,2022
16,746.666512,199.7430375,246.3027509,-46.55971344,2022
17,806.3946136,406.7463716,214.4684197,192.277952,2022
18,889.7554526,518.4363895,62.34041824,456.0959713,2022
19,1082.212903,502.536199,247.8605858,254.6756132,2022
20,115.6816512,8.663856425,-5.431555095,14.09541152,2022
21,1171.944323,501.90438,16.28310119,485.6212788,2022
22,909.8456393,559.446194,55.9205786,503.5256154,2022
23,133.4122914,12.74958887,12.74958887,3.55E-15,2022
24,1173.364466,725.8855031,318.6125689,407.2729342,2022
25,833.3097297,29.70156605,29.70156605,1.07E-14,2022
26,120.0461246,-6.447870512,-6.447870512,-1.78E-15,2022
27,417.8345983,163.4828568,-44.0694161,207.5522729,2022
28,432.7077751,118.1426524,14.86389867,103.2787537,2022
29,912.1865391,656.6003204,189.1899974,467.410323,2022
30,266.1559045,105.9376071,219.2613289,-113.3237218,2022
31,78.63640846,-11.50641357,-11.50641357,1.78E-15,2022
32,103.1355502,-2.267212123,-2.700095509,0.432883386,2022
33,104.9566962,24.40627134,24.40627134,0,2022
34,1.39009675,-1.663609217,-1.663609217,0,2022
35,1854.005776,935.9671134,437.8619231,498.1051902,2022
36,882.5999669,285.1179781,205.9813454,79.13663273,2022
37,735.4739639,267.7575403,67.60492797,200.1526123,2022
38,1008.595428,671.9996068,79.21270649,592.7869003,2022
39,1525.799377,767.0283054,122.0070309,645.0212746,2022
40,202.8844105,121.148958,145.4138581,-24.26490009,2022
41,394.4295323,3.073718423,3.073718423,-3.82E-14,2022
42,1071.763416,573.3045362,402.116247,171.1882892,2022
43,103.3052009,13.16237887,13.16237887,-1.78E-15,2022
44,1116.416626,740.1059507,232.0397212,508.0662295,2022
45,900.0993596,-21.55127524,-21.55127524,-3.55E-15,2022
46,926.4758535,649.2350557,247.0051752,402.2298805,2022
47,115.6236367,-59.70330008,-59.70330008,7.11E-15,2022
48,1230.537304,783.0583407,138.7382318,644.320109,2022
49,619.5611239,154.5100446,-32.82284254,187.3328871,2022
50,1673.125165,228.4036532,228.4036532,2.84E-14,2022
51,76.55897339,16.96546952,33.86483987,-16.89937035,2022
52,49.68127893,-38.28331532,-17.95490042,-20.3284149,2022
53,132.4766624,-42.85027445,-42.85027445,-7.11E-15,2022
54,78.8237732,-26.12850517,-26.12850517,-3.55E-15,2022
