PLOTNO,DryWt.g,DryWt.g.m2,YEAR,log10RootBiomass
90,0.1042,182.7922935,2020,2.261957882
91,0.1924,337.5166724,2020,2.528295231
92,0.0808,141.7429684,2020,2.151501524
93,0.3648,639.9484516,2020,2.806144993
94,0.4551,798.3567443,2020,2.902196998
95,0.3212,563.4633845,2020,2.7508657
96,0.0969,169.9863075,2020,2.23041394
97,0.092,161.3905086,2020,2.20787799
98,0.1094,191.9143657,2020,2.283107485
99,0.3958,694.330036,2020,2.841565953
100,0.0976,171.2142787,2020,2.233539981
101,0.1617,283.6613614,2020,2.452800183
102,0.1062,186.3007828,2020,2.27021468
103,0.0406,71.22233316,2020,1.852616197
104,0.0379,66.48587258,2020,1.822729373
105,0.1873,328.5700246,2020,2.51662794
106,0.0406,71.22233316,2020,1.852616197
107,0.0815,142.9709397,2020,2.155247772
108,0.0628,110.1665646,2020,2.042049807
109,0.0069,12.10428815,2020,1.082939254
110,0.0375,65.78417471,2020,1.818121431
111,0.0308,54.0307355,2020,1.732640879
112,0.0312,54.73243336,2020,1.738244757
113,0.0806,141.3921195,2020,2.150425205
114,0.2172,381.0219399,2020,2.580949984
115,0.0313,54.90785783,2020,1.7396345
116,0.0481,84.3791681,2020,1.926235239
117,0.0824,144.5497599,2020,2.160017375
118,0.0509,89.29105314,2020,1.950807945
119,0.1032,181.0380488,2020,2.25776986
120,0.1148,201.3872869,2020,2.304032051
121,0.0476,83.50204577,2020,1.921697116
122,0.0322,56.48667802,2020,1.751946035
123,0.1952,342.4285574,2020,2.534569976
124,0.0272,47.71545473,2020,1.678659067
125,0.0223,39.1196559,2020,1.592395026
126,0.0208,36.48828891,2020,1.562153498
127,0.102,178.9329552,2020,2.252690335
128,0.0801,140.5149972,2020,2.147722679
129,0.0254,44.55781434,2020,1.64892388
130,0.0315,55.25870676,2020,1.742400717
131,0.22,385.933825,2020,2.586512844
132,0.0278,48.76800152,2020,1.688134959
133,0.0382,67.01214597,2020,1.826153526
134,0.0328,57.53922482,2020,1.759964007
135,0.0338,59.29346947,2020,1.773006863
136,0.1321,231.7357195,2020,2.364992981
137,0.0639,112.0962337,2020,2.049591021
138,0.0186,32.62895066,2020,1.513603107
139,0.0517,90.69444887,2020,1.957580706
140,0.032,56.13582909,2020,1.749240141
141,0.062,108.7631689,2020,2.036481852
142,0.0553,97.00972964,2020,1.986815294
143,0.1301,228.2272301,2020,2.35836746
144,0.1149,201.5627113,2020,2.304410192
145,0.0851,149.2862205,2020,2.174019723
146,0.0386,67.71384384,2020,1.830677468
147,0.3438,603.1093138,2020,2.780396035
148,0.0711,124.7267953,2020,2.095959764
149,0.0593,104.0267083,2020,2.017144856
